date;SPXT;id
30/11/1994;567.29;7
31/12/1994;575.7;7
31/01/1995;590.64;7
28/02/1995;613.65;7
31/03/1995;631.76;7
30/04/1995;650.36;7
31/05/1995;676.36;7
30/06/1995;692.07;7
31/07/1995;715.02;7
31/08/1995;716.82;7
30/09/1995;747.07;7
31/10/1995;744.4;7
30/11/1995;777.07;7
31/12/1995;792.04;7
31/01/1996;819;7
29/02/1996;826.59;7
31/03/1996;834.55;7
30/04/1996;846.85;7
31/05/1996;868.69;7
30/06/1996;872.01;7
31/07/1996;833.48;7
31/08/1996;851.06;7
30/09/1996;898.97;7
31/10/1996;923.76;7
30/11/1996;993.58;7
31/12/1996;973.9;7
31/01/1997;1034.74;7
28/02/1997;1042.85;7
31/03/1997;1000;7
30/04/1997;1059.7;7
31/05/1997;1124.22;7
30/06/1997;1174.59;7
31/07/1997;1268.05;7
31/08/1997;1197.01;7
30/09/1997;1262.56;7
31/10/1997;1220.4;7
30/11/1997;1276.89;7
31/12/1997;1298.82;7
31/01/1998;1313.19;7
28/02/1998;1407.9;7
31/03/1998;1480;7
30/04/1998;1494.89;7
31/05/1998;1469.19;7
30/06/1998;1528.87;7
31/07/1998;1512.59;7
31/08/1998;1293.9;7
30/09/1998;1376.79;7
31/10/1998;1488.78;7
30/11/1998;1579.02;7
31/12/1998;1670.01;7
31/01/1999;1739.84;7
28/02/1999;1685.77;7
31/03/1999;1753.21;7
30/04/1999;1821.11;7
31/05/1999;1778.1;7
30/06/1999;1876.78;7
31/07/1999;1818.18;7
31/08/1999;1809.19;7
30/09/1999;1759.59;7
31/10/1999;1870.94;7
30/11/1999;1908.97;7
31/12/1999;2021.4;7
31/01/2000;1919.84;7
29/02/2000;1883.5;7
31/03/2000;2067.76;7
30/04/2000;2005.55;7
31/05/2000;1964.4;7
30/06/2000;2012.83;7
31/07/2000;1981.36;7
31/08/2000;2104.43;7
30/09/2000;1993.33;7
31/10/2000;1984.91;7
30/11/2000;1828.42;7
31/12/2000;1837.37;7
31/01/2001;1902.55;7
28/02/2001;1729.08;7
31/03/2001;1619.54;7
30/04/2001;1745.39;7
31/05/2001;1757.09;7
30/06/2001;1714.32;7
31/07/2001;1697.45;7
31/08/2001;1591.18;7
30/09/2001;1462.69;7
31/10/2001;1490.58;7
30/11/2001;1604.92;7
31/12/2001;1618.98;7
31/01/2002;1595.35;7
28/02/2002;1564.59;7
31/03/2002;1623.43;7
30/04/2002;1525;7
31/05/2002;1513.77;7
30/06/2002;1405.94;7
31/07/2002;1296.34;7
31/08/2002;1304.86;7
30/09/2002;1163.04;7
31/10/2002;1265.41;7
30/11/2002;1339.89;7
31/12/2002;1261.18;7
31/01/2003;1228.14;7
28/02/2003;1209.71;7
31/03/2003;1221.46;7
30/04/2003;1322.07;7
31/05/2003;1391.72;7
30/06/2003;1409.48;7
31/07/2003;1434.33;7
31/08/2003;1462.3;7
30/09/2003;1446.77;7
31/10/2003;1528.62;7
30/11/2003;1542.07;7
31/12/2003;1622.94;7
31/01/2004;1652.73;7
29/02/2004;1675.7;7
31/03/2004;1650.42;7
30/04/2004;1624.51;7
31/05/2004;1646.8;7
30/06/2004;1678.83;7
31/07/2004;1623.26;7
31/08/2004;1629.83;7
30/09/2004;1647.48;7
31/10/2004;1672.65;7
30/11/2004;1740.33;7
31/12/2004;1799.55;7
31/01/2005;1755.68;7
28/02/2005;1792.63;7
31/03/2005;1760.89;7
30/04/2005;1727.49;7
31/05/2005;1782.46;7
30/06/2005;1784.99;7
31/07/2005;1851.37;7
31/08/2005;1834.48;7
30/09/2005;1849.33;7
31/10/2005;1818.5;7
30/11/2005;1887.28;7
31/12/2005;1887.94;7
31/01/2006;1937.93;7
28/02/2006;1943.19;7
31/03/2006;1967.38;7
30/04/2006;1993.79;7
31/05/2006;1936.41;7
30/06/2006;1939.03;7
31/07/2006;1951;7
31/08/2006;1997.42;7
30/09/2006;2048.89;7
31/10/2006;2115.65;7
30/11/2006;2155.89;7
31/12/2006;2186.13;7
31/01/2007;2219.19;7
28/02/2007;2175.78;7
31/03/2007;2200.12;7
30/04/2007;2297.57;7
31/05/2007;2377.75;7
30/06/2007;2338.25;7
31/07/2007;2265.75;7
31/08/2007;2299.71;7
30/09/2007;2385.72;7
31/10/2007;2423.67;7
30/11/2007;2322.34;7
31/12/2007;2306.23;7
31/01/2008;2167.9;7
29/02/2008;2097.48;7
31/03/2008;2088.42;7
30/04/2008;2190.13;7
31/05/2008;2218.5;7
30/06/2008;2031.47;7
31/07/2008;2014.39;7
31/08/2008;2043.53;7
30/09/2008;1861.44;7
31/10/2008;1548.81;7
30/11/2008;1437.68;7
31/12/2008;1452.98;7
31/01/2009;1330.51;7
28/02/2009;1188.84;7
31/03/2009;1292.98;7
30/04/2009;1416.73;7
31/05/2009;1495.97;7
30/06/2009;1498.94;7
31/07/2009;1612.31;7
31/08/2009;1670.52;7
30/09/2009;1732.86;7
31/10/2009;1700.67;7
30/11/2009;1802.68;7
31/12/2009;1837.5;7
31/01/2010;1771.4;7
28/02/2010;1826.27;7
31/03/2010;1936.48;7
30/04/2010;1967.05;7
31/05/2010;1809.98;7
30/06/2010;1715.23;7
31/07/2010;1835.4;7
31/08/2010;1752.55;7
30/09/2010;1908.95;7
31/10/2010;1981.59;7
30/11/2010;1981.84;7
31/12/2010;2114.29;7
31/01/2011;2164.4;7
28/02/2011;2238.55;7
31/03/2011;2239.44;7
30/04/2011;2305.76;7
31/05/2011;2279.66;7
30/06/2011;2241.66;7
31/07/2011;2196.08;7
31/08/2011;2076.78;7
30/09/2011;1930.79;7
31/10/2011;2141.81;7
30/11/2011;2137.08;7
31/12/2011;2158.94;7
31/01/2012;2255.69;7
29/02/2012;2353.23;7
31/03/2012;2430.67;7
30/04/2012;2415.42;7
31/05/2012;2270.25;7
30/06/2012;2363.79;7
31/07/2012;2396.62;7
31/08/2012;2450.6;7
30/09/2012;2513.93;7
31/10/2012;2467.51;7
30/11/2012;2481.82;7
31/12/2012;2504.44;7
31/01/2013;2634.16;7
28/02/2013;2669.92;7
31/03/2013;2770.05;7
30/04/2013;2823.42;7
31/05/2013;2889.46;7
30/06/2013;2850.66;7
31/07/2013;2995.72;7
31/08/2013;2908.96;7
30/09/2013;3000.18;7
31/10/2013;3138.09;7
30/11/2013;3233.72;7
31/12/2013;3315.59;7
31/01/2014;3200.95;7
28/02/2014;3347.38;7
31/03/2014;3375.51;7
30/04/2014;3400.46;7
31/05/2014;3480.29;7
30/06/2014;3552.18;7
31/07/2014;3503.19;7
31/08/2014;3643.34;7
30/09/2014;3592.25;7
31/10/2014;3679.99;7
30/11/2014;3778.96;7
31/12/2014;3769.44;7
31/01/2015;3656.28;7
28/02/2015;3866.42;7
31/03/2015;3805.27;7
30/04/2015;3841.78;7
31/05/2015;3891.18;7
30/06/2015;3815.85;7
31/07/2015;3895.8;7
31/08/2015;3660.75;7
30/09/2015;3570.17;7
31/10/2015;3871.33;7
30/11/2015;3882.84;7
31/12/2015;3821.6;7
31/01/2016;3631.96;7
29/02/2016;3627.06;7
31/03/2016;3873.11;7
30/04/2016;3888.13;7
31/05/2016;3957.95;7
30/06/2016;3968.21;7
31/07/2016;4114.51;7
31/08/2016;4120.29;7
30/09/2016;4121.06;7
31/10/2016;4045.89;7
30/11/2016;4195.73;7
31/12/2016;4278.66;7
31/01/2017;4359.81;7
28/02/2017;4532.93;7
31/03/2017;4538.21;7
30/04/2017;4584.82;7
31/05/2017;4649.34;7
30/06/2017;4678.36;7
31/07/2017;4774.56;7
31/08/2017;4789.18;7
30/09/2017;4887.97;7
31/10/2017;5002.03;7
30/11/2017;5155.44;7
31/12/2017;5212.76;7
31/01/2018;5511.21;7
28/02/2018;5308.09;7
31/03/2018;5173.19;7
30/04/2018;5193.04;7
31/05/2018;5318.1;7
30/06/2018;5350.83;7
31/07/2018;5549.96;7
31/08/2018;5730.8;7
30/09/2018;5763.42;7
31/10/2018;5369.49;7
30/11/2018;5478.91;7
31/12/2018;4984.22;7
31/01/2019;5383.63;7
28/02/2019;5556.49;7
31/03/2019;5664.46;7
30/04/2019;5893.81;7
31/05/2019;5519.27;7
30/06/2019;5908.25;7
31/07/2019;5993.17;7
31/08/2019;5898.23;7
30/09/2019;6008.59;7
31/10/2019;6138.73;7
30/11/2019;6361.56;7
31/12/2019;6553.57;7
31/01/2020;6551;7
29/02/2020;6011.73;7
31/03/2020;5269.2;7
30/04/2020;5944.68;7
31/05/2020;6227.81;7
30/06/2020;6351.67;7
31/07/2020;6709.81;7
31/08/2020;7192.11;7
30/09/2020;6918.83;7
31/10/2020;6734.84;7
30/11/2020;7472.06;7
31/12/2020;7759.35;7
31/01/2021;7681.01;7
28/02/2021;7892.81;7
31/03/2021;8238.48;7
30/04/2021;8678.16;7
31/05/2021;8738.77;7
30/06/2021;8942.78;7
31/07/2021;9155.21;7
31/08/2021;9433.58;7
