date;NEIXCTAT;id
30/11/2012;2186.807;12
31/12/2012;2214.679;12
31/01/2013;2274.081;12
28/02/2013;2253.514;12
31/03/2013;2296.126;12
30/04/2013;2384.665;12
31/05/2013;2297.422;12
30/06/2013;2231.511;12
31/07/2013;2213.958;12
31/08/2013;2157.988;12
30/09/2013;2145.154;12
31/10/2013;2199.816;12
30/11/2013;2259.264;12
31/12/2013;2273.861;12
31/01/2014;2171.352;12
28/02/2014;2185.305;12
31/03/2014;2139.87;12
30/04/2014;2162.986;12
31/05/2014;2227.085;12
30/06/2014;2258.1;12
31/07/2014;2234.017;12
31/08/2014;2357.018;12
30/09/2014;2435.602;12
31/10/2014;2478.602;12
30/11/2014;2659.299;12
31/12/2014;2721.787;12
31/01/2015;2861.008;12
28/02/2015;2855.143;12
31/03/2015;2929.293;12
30/04/2015;2814.683;12
31/05/2015;2789.703;12
30/06/2015;2654.02;12
31/07/2015;2760.348;12
31/08/2015;2701.483;12
30/09/2015;2763.31;12
31/10/2015;2691.359;12
30/11/2015;2783.213;12
31/12/2015;2722.786;12
31/01/2016;2825.1;12
29/02/2016;2893.178;12
31/03/2016;2808.833;12
30/04/2016;2705.887;12
31/05/2016;2632.979;12
30/06/2016;2774.237;12
31/07/2016;2821.91;12
31/08/2016;2726.175;12
30/09/2016;2674.833;12
31/10/2016;2571.266;12
30/11/2016;2539.08;12
31/12/2016;2555.674;12
31/01/2017;2525.9;12
28/02/2017;2597.957;12
31/03/2017;2533.892;12
30/04/2017;2507.783;12
31/05/2017;2499.831;12
30/06/2017;2407.331;12
31/07/2017;2438.106;12
31/08/2017;2501.607;12
30/09/2017;2425.277;12
31/10/2017;2559.87;12
30/11/2017;2574.94;12
31/12/2017;2611.982;12
31/01/2018;2764.781;12
28/02/2018;2517.15;12
31/03/2018;2510.719;12
30/04/2018;2520.962;12
31/05/2018;2451.1;12
30/06/2018;2477.117;12
31/07/2018;2456.981;12
31/08/2018;2553.446;12
30/09/2018;2528.781;12
31/10/2018;2420.191;12
30/11/2018;2377.667;12
31/12/2018;2400.14;12
31/01/2019;2323.07;12
28/02/2019;2341.599;12
31/03/2019;2469.437;12
30/04/2019;2573.326;12
31/05/2019;2509.652;12
30/06/2019;2578.548;12
31/07/2019;2702.954;12
31/08/2019;2879.128;12
30/09/2019;2727.543;12
31/10/2019;2614.433;12
30/11/2019;2636.138;12
31/12/2019;2621.565;12
31/01/2020;2644.87;12
29/02/2020;2633.798;12
31/03/2020;2681.723;12
30/04/2020;2686.108;12
31/05/2020;2645.137;12
30/06/2020;2599.424;12
31/07/2020;2679.051;12
31/08/2020;2639.258;12
30/09/2020;2568.344;12
31/10/2020;2583.337;12
30/11/2020;2613.935;12
31/12/2020;2786.202;12
31/01/2021;2765.323;12
28/02/2021;2865.76;12
31/03/2021;2896.937;12
30/04/2021;2978.855;12
31/05/2021;3059.372;12
30/06/2021;2992.189;12
31/07/2021;3009.765;12
31/08/2021;3023.154;12
