date;value;id
28/02/2006;1541.067;13
31/03/2006;1575.549;13
30/04/2006;1613.632;13
31/05/2006;1588.923;13
30/06/2006;1567.034;13
31/07/2006;1535.539;13
31/08/2006;1534.311;13
30/09/2006;1526.093;13
31/10/2006;1546.684;13
30/11/2006;1583.429;13
31/12/2006;1624.958;13
31/01/2007;1643.465;13
28/02/2007;1614.759;13
31/03/2007;1592.14;13
30/04/2007;1646.86;13
31/05/2007;1700.124;13
30/06/2007;1740.009;13
31/07/2007;1694.923;13
31/08/2007;1625.964;13
30/09/2007;1695.765;13
31/10/2007;1755.817;13
30/11/2007;1740.904;13
31/12/2007;1755.792;13
31/01/2008;1785.289;13
29/02/2008;1867.378;13
31/03/2008;1863.686;13
30/04/2008;1826.935;13
31/05/2008;1858.758;13
30/06/2008;1901.58;13
31/07/2008;1849.765;13
31/08/2008;1816.43;13
30/09/2008;1822.504;13
31/10/2008;1913.247;13
30/11/2008;1953.148;13
31/12/2008;1985.277;13
31/01/2009;1988.867;13
28/02/2009;1992.126;13
31/03/2009;1943.074;13
30/04/2009;1904.872;13
31/05/2009;1929.881;13
30/06/2009;1895.594;13
31/07/2009;1889.048;13
31/08/2009;1905.706;13
30/09/2009;1947.011;13
31/10/2009;1911.997;13
30/11/2009;1963.721;13
31/12/2009;1899.93;13
31/01/2010;1861.533;13
28/02/2010;1885.635;13
31/03/2010;1935.989;13
30/04/2010;1962.837;13
31/05/2010;1935.08;13
30/06/2010;1930.519;13
31/07/2010;1921.502;13
31/08/2010;1988.185;13
30/09/2010;2013.735;13
31/10/2010;2067.447;13
30/11/2010;2009.047;13
31/12/2010;2075.841;13
31/01/2011;2045.761;13
28/02/2011;2070.034;13
31/03/2011;2048.183;13
30/04/2011;2121.764;13
31/05/2011;2026.658;13
30/06/2011;1992.949;13
31/07/2011;2058.069;13
31/08/2011;2028.952;13
30/09/2011;2044.07;13
31/10/2011;1967.43;13
30/11/2011;1970.356;13
31/12/2011;1983.477;13
31/01/2012;1997.395;13
29/02/2012;2016.168;13
31/03/2012;1975.4;13
30/04/2012;1977.05;13
31/05/2012;2036.948;13
30/06/2012;1969.866;13
31/07/2012;2028.031;13
31/08/2012;2004.116;13
30/09/2012;1987.847;13
31/10/2012;1928.004;13
30/11/2012;1925.567;13
31/12/2012;1926.642;13
31/01/2013;1954.671;13
28/02/2013;1956.808;13
31/03/2013;1981.785;13
30/04/2013;2010.424;13
31/05/2013;1975.834;13
30/06/2013;1946.104;13
31/07/2013;1926.958;13
31/08/2013;1893.299;13
30/09/2013;1874.967;13
31/10/2013;1897.674;13
30/11/2013;1929.697;13
31/12/2013;1940.681;13
31/01/2014;1895.447;13
28/02/2014;1906.374;13
31/03/2014;1900.459;13
30/04/2014;1908.37;13
31/05/2014;1952.488;13
30/06/2014;1962.097;13
31/07/2014;1943.079;13
31/08/2014;2019.907;13
30/09/2014;2058.82;13
31/10/2014;2092.617;13
30/11/2014;2210.089;13
31/12/2014;2244.675;13
31/01/2015;2341.603;13
28/02/2015;2334.572;13
31/03/2015;2374.325;13
30/04/2015;2299.067;13
31/05/2015;2289.853;13
30/06/2015;2193.018;13
31/07/2015;2260.682;13
31/08/2015;2218.072;13
30/09/2015;2243.924;13
31/10/2015;2217.087;13
30/11/2015;2275.956;13
31/12/2015;2245.248;13
31/01/2016;2339.071;13
29/02/2016;2408.471;13
31/03/2016;2336.181;13
30/04/2016;2284.222;13
31/05/2016;2237.512;13
30/06/2016;2338.743;13
31/07/2016;2367.857;13
31/08/2016;2294.04;13
30/09/2016;2267.054;13
31/10/2016;2208.017;13
30/11/2016;2168.06;13
31/12/2016;2180.902;13
31/01/2017;2156.354;13
28/02/2017;2204.57;13
31/03/2017;2182.351;13
30/04/2017;2179.57;13
31/05/2017;2180.4;13
30/06/2017;2105.516;13
31/07/2017;2121.567;13
31/08/2017;2165.933;13
30/09/2017;2120.614;13
31/10/2017;2212.764;13
30/11/2017;2219.526;13
31/12/2017;2235.058;13
31/01/2018;2322.336;13
28/02/2018;2175.259;13
31/03/2018;2172.355;13
30/04/2018;2173.895;13
31/05/2018;2118.919;13
30/06/2018;2130.463;13
31/07/2018;2115.505;13
31/08/2018;2171.367;13
30/09/2018;2157.667;13
31/10/2018;2097.473;13
30/11/2018;2074.684;13
31/12/2018;2104.644;13
31/01/2019;2065.032;13
28/02/2019;2073.692;13
31/03/2019;2145.185;13
30/04/2019;2204.011;13
31/05/2019;2152.563;13
30/06/2019;2205.383;13
31/07/2019;2283.824;13
31/08/2019;2360.9;13
30/09/2019;2285.537;13
31/10/2019;2231.011;13
30/11/2019;2250.534;13
31/12/2019;2236.307;13
31/01/2020;2254.922;13
29/02/2020;2221.229;13
31/03/2020;2224.19;13
30/04/2020;2229.272;13
31/05/2020;2207.916;13
30/06/2020;2176.319;13
31/07/2020;2232.206;13
31/08/2020;2203.707;13
30/09/2020;2161.092;13
31/10/2020;2158.25;13
30/11/2020;2185.024;13
31/12/2020;2307.075;13
31/01/2021;2279.36;13
28/02/2021;2344.787;13
31/03/2021;2365.589;13
30/04/2021;2436.747;13
31/05/2021;2483.561;13
30/06/2021;2457.424;13
31/07/2021;2464.373;13
31/08/2021;2457.258;13
